version,release_date,ngs_count,assembly_count,site_count,biosample_count
1.4,2022-02-04,6,6,1,1
1.6,2022-02-17,7,7,1,1
1.13,2022-03-31,967,8,1,42
1.16,2022-04-27,989,8,1,42
1.17,2022-05-11,989,8,1,42
1.18,2022-05-11,989,8,1,42
1.2,2022-06-03,1048,8,1,42
1.23,2022-07-14,1021,39,1,63
1.24,2022-07-15,1021,39,1,63
1.25,2022-07-21,1021,39,1,63
1.26,2022-07-25,1021,16,3,65
1.27,2022-08-04,1025,16,3,65
1.28,2022-08-06,1025,16,3,65
1.3,2022-08-17,1025,123,30,71
1.41,2022-12-21,1272,58,189,88
1.42,2023-02-01,1756,127,189,88
