version,release _date,Metric,count,,,,,,
1.4,2022-02-04,ngs,6,,,,,,
1.4,2022-02-04,assembly,6,,,,,,
1.4,2022-02-04,site,1,,,,,,
1.4,2022-02-04,biosample,1,,,,,,
1.6,2022-02-17,ngs,7,,,,,,
1.6,2022-02-17,assembly,7,,,,,,
1.6,2022-02-17,site,1,,,,,,
1.6,2022-02-17,biosample,1,,,,,,
1.13,2022-03-31,ngs,967,,,,,,
1.13,2022-03-31,assembly,8,,,,,,
1.13,2022-03-31,site,1,,,,,,
1.13,2022-03-31,biosample,42,,,,,,
1.16,2022-04-27,ngs,989,,,,,,
1.16,2022-04-27,assembly,8,,,,,,
1.16,2022-04-27,site,1,,,,,,
1.16,2022-04-27,biosample,42,,,,,,
1.17,2022-05-11,ngs,989,,,,,,
1.17,2022-05-11,assembly,8,,,,,,
1.17,2022-05-11,site,1,,,,,,
1.17,2022-05-11,biosample,42,,,,,,
1.18,2022-05-11,ngs,989,,,,,,
1.18,2022-05-11,assembly,8,,,,,,
1.18,2022-05-11,site,1,,,,,,
1.18,2022-05-11,biosample,42,,,,,,
1.2,2022-06-03,ngs,1048,,,,,,
1.2,2022-06-03,assembly,8,,,,,,
1.2,2022-06-03,site,1,,,,,,
1.2,2022-06-03,biosample,42,,,,,,
1.23,2022-07-14,ngs,1021,,,,,,
1.23,2022-07-14,assembly,39,,,,,,
1.23,2022-07-14,site,1,,,,,,
1.23,2022-07-14,biosample,63,,,,,,
1.24,2022-07-15,ngs,1021,,,,,,
1.24,2022-07-15,assembly,39,,,,,,
1.24,2022-07-15,site,1,,,,,,
1.24,2022-07-15,biosample,63,,,,,,
1.25,2022-07-21,ngs,1021,,,,,,
1.25,2022-07-21,assembly,39,,,,,,
1.25,2022-07-21,site,1,,,,,,
1.25,2022-07-21,biosample,63,,,,,,
1.26,2022-07-25,ngs,1021,,,,,,
1.26,2022-07-25,assembly,16,,,,,,
1.26,2022-07-25,site,3,,,,,,
1.26,2022-07-25,biosample,65,,,,,,
1.27,2022-08-04,ngs,1025,,,,,,
1.27,2022-08-04,assembly,16,,,,,,
1.27,2022-08-04,site,3,,,,,,
1.27,2022-08-04,biosample,65,,,,,,
1.28,2022-08-06,ngs,1025,,,,,,
1.28,2022-08-06,assembly,16,,,,,,
1.28,2022-08-06,site,3,,,,,,
1.28,2022-08-06,biosample,65,,,,,,
1.3,2022-08-17,ngs,1025,,,,,,
1.3,2022-08-17,assembly,123,,,,,,
1.3,2022-08-17,site,30,,,,,,
1.3,2022-08-17,biosample,71,,,,,,
1.41,2022-12-21,ngs,1272,,,,,,
1.41,2022-12-21,assembly,58,,,,,,
1.41,2022-12-21,site,189,,,,,,
1.41,2022-12-21,biosample,88,,,,,,
1.42,2023-02-01,ngs,1756,,,,,,
1.42,2023-02-01,assembly,127,,,,,,
1.42,2023-02-01,site,189,,,,,,
1.42,2023-02-01,biosample,88,,,,,,
